"Year";"State";"Type";"Length";"Expense";"Value"
2013;"Alabama";"Private";"4-year";"Fees/Tuition";13983.0
2013;"Alabama";"Private";"4-year";"Room/Board";8503.0
2013;"Alabama";"Public In-State";"2-year";"Fees/Tuition";4048.0
2013;"Alabama";"Public In-State";"4-year";"Fees/Tuition";8073.0
2013;"Alabama";"Public In-State";"4-year";"Room/Board";8473.0
2013;"Alabama";"Public Out-of-State";"2-year";"Fees/Tuition";7736.0
2013;"Alabama";"Public Out-of-State";"4-year";"Fees/Tuition";20380.0
2013;"Alabama";"Public Out-of-State";"4-year";"Room/Board";8473.0
2013;"Alaska";"Private";"4-year";"Fees/Tuition";21496.0
2013;"Alaska";"Private";"4-year";"Room/Board";8923.0
2013;"Alaska";"Public In-State";"2-year";"Fees/Tuition";3972.0
2013;"Alaska";"Public In-State";"4-year";"Fees/Tuition";6317.0
2013;"Alaska";"Public In-State";"4-year";"Room/Board";9098.0
2013;"Alaska";"Public Out-of-State";"2-year";"Fees/Tuition";4150.0
2013;"Alaska";"Public Out-of-State";"4-year";"Fees/Tuition";18790.0
2013;"Alaska";"Public Out-of-State";"4-year";"Room/Board";9098.0
2013;"Arizona";"Private";"4-year";"Fees/Tuition";11650.0
2013;"Arizona";"Private";"4-year";"Room/Board";8744.0
2013;"Arizona";"Public In-State";"2-year";"Fees/Tuition";1842.0
2013;"Arizona";"Public In-State";"4-year";"Fees/Tuition";9694.0
2013;"Arizona";"Public In-State";"4-year";"Room/Board";9370.0
2013;"Arizona";"Public Out-of-State";"2-year";"Fees/Tuition";7870.0
2013;"Arizona";"Public Out-of-State";"4-year";"Fees/Tuition";21201.0
2013;"Arizona";"Public Out-of-State";"4-year";"Room/Board";9370.0
2013;"Arkansas";"Private";"4-year";"Fees/Tuition";18004.0
2013;"Arkansas";"Private";"4-year";"Room/Board";7263.0
2013;"Arkansas";"Public In-State";"2-year";"Fees/Tuition";2633.0
2013;"Arkansas";"Public In-State";"4-year";"Fees/Tuition";6604.0
2013;"Arkansas";"Public In-State";"4-year";"Room/Board";7331.0
2013;"Arkansas";"Public Out-of-State";"2-year";"Fees/Tuition";4605.0
2013;"Arkansas";"Public Out-of-State";"4-year";"Fees/Tuition";15669.0
2013;"Arkansas";"Public Out-of-State";"4-year";"Room/Board";7331.0
2013;"California";"Private";"4-year";"Fees/Tuition";28345.0
2013;"California";"Private";"4-year";"Room/Board";12254.0
2013;"California";"Public In-State";"2-year";"Fees/Tuition";1225.0
2013;"California";"Public In-State";"4-year";"Fees/Tuition";8892.0
2013;"California";"Public In-State";"4-year";"Room/Board";12137.0
2013;"California";"Public Out-of-State";"2-year";"Fees/Tuition";6267.0
2013;"California";"Public Out-of-State";"4-year";"Fees/Tuition";30765.0
2013;"California";"Public Out-of-State";"4-year";"Room/Board";12137.0
2013;"Colorado";"Private";"4-year";"Fees/Tuition";19967.0
2013;"Colorado";"Private";"4-year";"Room/Board";10939.0
2013;"Colorado";"Public In-State";"2-year";"Fees/Tuition";3004.0
2013;"Colorado";"Public In-State";"4-year";"Fees/Tuition";7656.0
2013;"Colorado";"Public In-State";"4-year";"Room/Board";10396.0
2013;"Colorado";"Public Out-of-State";"2-year";"Fees/Tuition";8882.0
2013;"Colorado";"Public Out-of-State";"4-year";"Fees/Tuition";25470.0
2013;"Colorado";"Public Out-of-State";"4-year";"Room/Board";10396.0
2013;"Connecticut";"Private";"4-year";"Fees/Tuition";35336.0
2013;"Connecticut";"Private";"4-year";"Room/Board";12926.0
2013;"Connecticut";"Public In-State";"2-year";"Fees/Tuition";3596.0
2013;"Connecticut";"Public In-State";"4-year";"Fees/Tuition";9517.0
2013;"Connecticut";"Public In-State";"4-year";"Room/Board";11138.0
2013;"Connecticut";"Public Out-of-State";"2-year";"Fees/Tuition";10512.0
2013;"Connecticut";"Public Out-of-State";"4-year";"Fees/Tuition";26688.0
2013;"Connecticut";"Public Out-of-State";"4-year";"Room/Board";11138.0
2013;"Delaware";"Private";"4-year";"Fees/Tuition";12943.0
2013;"Delaware";"Private";"4-year";"Room/Board";10758.0
2013;"Delaware";"Public In-State";"2-year";"Fees/Tuition";3242.0
2013;"Delaware";"Public In-State";"4-year";"Fees/Tuition";10929.0
2013;"Delaware";"Public In-State";"4-year";"Room/Board";11011.0
2013;"Delaware";"Public Out-of-State";"2-year";"Fees/Tuition";7562.0
2013;"Delaware";"Public Out-of-State";"4-year";"Fees/Tuition";26228.0
2013;"Delaware";"Public Out-of-State";"4-year";"Room/Board";11011.0
2013;"District of Columbia";"Private";"4-year";"Fees/Tuition";35524.0
2013;"District of Columbia";"Private";"4-year";"Room/Board";12916.0
2013;"District of Columbia";"Public In-State";"4-year";"Fees/Tuition";7244.0
2013;"District of Columbia";"Public Out-of-State";"4-year";"Fees/Tuition";14540.0
2013;"Florida";"Private";"4-year";"Fees/Tuition";20155.0
2013;"Florida";"Private";"4-year";"Room/Board";9968.0
2013;"Florida";"Public In-State";"2-year";"Fees/Tuition";2486.0
2013;"Florida";"Public In-State";"4-year";"Fees/Tuition";4377.0
2013;"Florida";"Public In-State";"4-year";"Room/Board";9793.0
2013;"Florida";"Public Out-of-State";"2-year";"Fees/Tuition";6889.0
2013;"Florida";"Public Out-of-State";"4-year";"Fees/Tuition";17050.0
2013;"Florida";"Public Out-of-State";"4-year";"Room/Board";9793.0
2013;"Georgia";"Private";"4-year";"Fees/Tuition";22456.0
2013;"Georgia";"Private";"4-year";"Room/Board";10721.0
2013;"Georgia";"Public In-State";"2-year";"Fees/Tuition";2652.0
2013;"Georgia";"Public In-State";"4-year";"Fees/Tuition";6325.0
2013;"Georgia";"Public In-State";"4-year";"Room/Board";9005.0
2013;"Georgia";"Public Out-of-State";"2-year";"Fees/Tuition";7554.0
2013;"Georgia";"Public Out-of-State";"4-year";"Fees/Tuition";22393.0
2013;"Georgia";"Public Out-of-State";"4-year";"Room/Board";9005.0
2013;"Hawaii";"Private";"4-year";"Fees/Tuition";14287.0
2013;"Hawaii";"Private";"4-year";"Room/Board";11522.0
2013;"Hawaii";"Public In-State";"2-year";"Fees/Tuition";2484.0
2013;"Hawaii";"Public In-State";"4-year";"Fees/Tuition";7731.0
2013;"Hawaii";"Public In-State";"4-year";"Room/Board";9256.0
2013;"Hawaii";"Public Out-of-State";"2-year";"Fees/Tuition";7166.0
2013;"Hawaii";"Public Out-of-State";"4-year";"Fees/Tuition";23614.0
2013;"Hawaii";"Public Out-of-State";"4-year";"Room/Board";9256.0
2013;"Idaho";"Private";"4-year";"Fees/Tuition";6752.0
2013;"Idaho";"Private";"4-year";"Room/Board";4792.0
2013;"Idaho";"Public In-State";"2-year";"Fees/Tuition";2915.0
2013;"Idaho";"Public In-State";"4-year";"Fees/Tuition";5980.0
2013;"Idaho";"Public In-State";"4-year";"Room/Board";7496.0
